Treatment,Code,PitfallNumber,Number,Site ,Morphospecies,Abundance,Taxa,Species,ArthropodGroup,
Control,Con001,1,1,Plateau,TigerMoth,1,,,moth,
Control,Con001,1,1,Plateau,Coleoptera4,1,Sericoides,,groundBeetle,
Control,Con001,1,1,Plateau,Centipede,1,,,centipede,
Control,Con001,1,1,Plateau,smallMite,16,,,mite,
Control,Con001,1,1,Plateau,Ant,24,,,Ant,
Control,Con001,1,1,Plateau,Ant3,1,,,Ant,
Control,Con001,2,1,Plateau,TigerMoth,6,,,moth,
Control,Con001,2,1,Plateau,Lampiridae,1,Discodon,magellanicum,groundBeetle,
Control,Con001,2,1,Plateau,Coleoptera1,2,Ceroglossus,,groundBeetle,
Control,Con001,2,1,Plateau,Neuroptera,1,,,moth,
Control,Con001,2,1,Plateau,smallMite,9,,,mite,
Control,Con001,2,1,Plateau,SilverFish,1,,,silverfish,
Control,Con001,2,1,Plateau,miteFighter,1,,,mite,
Control,Con001,2,1,Plateau,Ant,42,,,Ant,
Control,Con001,3,1,Plateau,TigerMoth,2,,,moth,
Control,Con001,3,1,Plateau,FruitFly,1,,,fly,
Control,Con001,3,1,Plateau,smallMite,10,,,mite,
Control,Con001,3,1,Plateau,SilverFish,1,,,silverfish,
Control,Con001,3,1,Plateau,Centipede,1,,,centipede,
Control,Con001,3,1,Plateau,Ant,44,,,Ant,
Control,Con001,3,1,Plateau,Ant3,1,,,Ant,
Control,Con002,1,2,Plateau,TigerMoth,1,,,moth,
Control,Con002,1,2,Plateau,Centipede,1,,,centipede,
Control,Con002,1,2,Plateau,warriorWasp,1,Sphecidae,,wasp,
Control,Con002,1,2,Plateau,Curculionidae1,1,Aegorhinus,,weevil,
Control,Con002,1,2,Plateau,Coleoptera1,1,Ceroglossus,,groundBeetle,
Control,Con002,1,2,Plateau,FruitFly,1,,,fly,
Control,Con002,1,2,Plateau,2LinedSpider,1,,,Spider,
Control,Con002,1,2,Plateau,smallMite,19,,,mite,
Control,Con002,1,2,Plateau,Ant,109,,,Ant,
Control,Con002,1,2,Plateau,Hemiptera1,2,,,Hoppers,
Control,Con002,1,2,Plateau,SilverFish,1,,,silverfish,
Control,Con002,2,2,Plateau,TigerMoth,2,,,moth,
Control,Con002,2,2,Plateau,Centipede,1,,,centipede,
Control,Con002,2,2,Plateau,2LinedSpider,1,,,Spider,
Control,Con002,2,2,Plateau,Neuroptera,1,,,moth,
Control,Con002,2,2,Plateau,Hemiptera1,1,,,Hoppers,
Control,Con002,2,2,Plateau,Ant,35,,,Ant,
Control,Con002,3,2,Plateau,TigerMoth,1,,,moth,
Control,Con002,3,2,Plateau,HorseFly,1,,,fly,
Control,Con002,3,2,Plateau,2LinedSpider,3,,,Spider,
Control,Con002,3,2,Plateau,Centipede,3,,,centipede,
Control,Con002,3,2,Plateau,OrangeWasp,2,Typhidae,,wasp,
Control,Con002,3,2,Plateau,Ant,53,,,Ant,
Control,Con003,1,3,Plateau,TigerMoth,4,,,moth,
Control,Con003,1,3,Plateau,SilverFish,1,,,silverfish,
Control,Con003,1,3,Plateau,Dermaptera1,2,Esphalmenus,porteri,dermaptera,
