Site,Treatment,Number,Code,Tag,BD_estimated,HTC,TH,BD_measured,Circunference,Lat,Lon
Plateau,Pine,1,Pine001,Pine-001-P,,182,395,,93,-41.97056302,-71.46467004
Plateau,Pine,2,Pine002,Pine-002-P,14,115,246,,43.98229715,-41.96939399,-71.46275997
Plateau,Pine,3,Pine003,Pine-003-P,11,137,279,,34.55751919,-41.96853703,-71.46316004
Plateau,Pine,4,Pine004,Pine-004-P,24,162,300,,75.39822369,-41.96744503,-71.46401399
Plateau,Pine,5,Pine005,Pine-005-P,16,95,233,,50.26548246,-41.96658002,-71.46364099
Plateau,Pine,6,Pine006,Pine-006-P,14,93,250,,43.98229715,-41.96749298,-71.46145298
Plateau,Pine,7,Pine007,Pine-007-P,13,140,320,,40.8407045,-41.96773597,-71.45947603
Plateau,Pine,8,Pine008,Pine-008-P,13,154,,,40.8407045,-41.96754101,-71.45763896
Plateau,Pine,9,Pine009,Pine-009-P,17,137,410,,53.40707511,-41.96577,-71.45395998
Plateau,Pine,10,Pine010,Pine-010-P,18,102,322,,56.54866776,-41.96798902,-71.45368103
Plateau,Pine,11,Pine011,Pine-011-P,10,99,250,,31.41592654,-41.97001702,-71.45614397
Plateau,Pine,12,Pine012,Pine-012-P,18,128,247,,56.54866776,-41.97052798,-71.45868503
Plateau,Pine,13,Pine013,Pine-013-P,11,97,220,,34.55751919,-41.97135603,-71.45991004
Plateau,Pine,14,Pine014,Pine-014-P,20,108,330,,62.83185307,-41.97169701,-71.461054
Plateau,Pine,15,Pine015,Pine-015-P,27,172,410,,84.82300165,-41.97142803,-71.462865
Plateau,Pine,16,Pine016,Pine-046-P,18,142,402,,56.54866776,-41.97064399,-71.46143002
Plateau,Pine,17,Pine017,Pine-047-P,11,91,230,,34.55751919,-41.96920096,-71.46169597
Plateau,Pine,18,Pine018,Pine-048-P,14,119,300,,43.98229715,-41.96826504,-71.46139598
Plateau,Pine,19,Pine019,Pine-049-P,16,160,274,,50.26548246,-41.96760697,-71.46337001
Plateau,Pine,20,Pine020,Pine-050-P,15,120,254,,47.1238898,-41.968661,-71.46441598
Plateau,Sapling,1,Sap001,Sap-016-P,5.6,56,109,,17.59291886,-41.97058297,-71.46507103
Plateau,Sapling,2,Sap002,Sap-017-P,5.2,44,123,,16.3362818,-41.96944596,-71.46430501
Plateau,Sapling,3,Sap003,Sap-018-P,4.7,58,120,,14.76548547,-41.96887901,-71.46297698
Plateau,Sapling,4,Sap004,Sap-019-P,3.3,43,80,,10.36725576,-41.96839102,-71.46366798
Plateau,Sapling,5,Sap005,Sap-020-P,2.7,46,93,,8.482300165,-41.96759004,-71.46496299
Plateau,Sapling,6,Sap006,Sap-021-P,4,58,60,,12.56637061,-41.96683601,-71.46212697
Plateau,Sapling,7,Sap007,Sap-022-P,3.9,45,75,,12.25221135,-41.96786799,-71.45901402
Plateau,Sapling,8,Sap008,Sap-023-P,4.2,42,96,,13.19468915,-41.96826898,-71.45838202
Plateau,Sapling,9,Sap009,Sap-024-P,5.3,52,130,,16.65044106,-41.96685998,-71.45571699
Plateau,Sapling,10,Sap010,Sap-025-P,8.1,59,163,,25.44690049,-41.96737404,-71.45459902
Plateau,Sapling,11,Sap011,Sap-026-P,3.5,41,80,,10.99557429,-41.96905696,-71.454769
Plateau,Sapling,12,Sap012,Sap-027-P,3.2,42,104,,10.05309649,-41.97022196,-71.45667999
Plateau,Sapling,13,Sap013,Sap-028-P,3.2,48,87,,10.05309649,-41.97090198,-71.45931099
Plateau,Sapling,14,Sap014,Sap-029-P,6,55,147,,18.84955592,-41.97211199,-71.45967199
Plateau,Sapling,15,Sap015,Sap-030-P,2.6,44,72,,8.168140899,-41.97158402,-71.46218003
Plateau,Sapling,16,Sap016,Sap-051-P,4.7,61,135,,14.76548547,-41.971035,-71.46142599
Plateau,Sapling,17,Sap017,Sap-052-P,5.3,68,129,,16.65044106,-41.97000998,-71.46205497
Plateau,Sapling,18,Sap018,Sap-053-P,2.7,33,89,,8.482300165,-41.96876502,-71.46092702
Plateau,Sapling,19,Sap019,Sap-054-P,3.2,43,75,,10.05309649,-41.96762801,-71.46260298
Plateau,Sapling,20,Sap020,Sap-055-P,3.6,46,,,11.30973355,-41.96868304,-71.46346497
Plateau,Control,1,Con001,,,,,,,-41.97108203,-71.464346
Plateau,Control,2,Con002,,,,,,,-41.96976297,-71.46476702
Plateau,Control,3,Con003,,,,,,,-41.96898504,-71.46278
Plateau,Control,4,Con004,,,,,,,-41.96762499,-71.46443401
Plateau,Control,5,Con005,,,,,,,-41.96641004,-71.46256601
Plateau,Control,6,Con006,,,,,,,-41.96762701,-71.45878603
Plateau,Control,7,Con007,,,,,,,-41.96816102,-71.46105099
Plateau,Control,8,Con008,,,,,,,-41.96818298,-71.45782001
Plateau,Control,9,Con009,,,,,,,-41.96637802,-71.45568397
Plateau,Control,10,Con010,,,,,,,-41.96778601,-71.45405704
Plateau,Control,11,Con011,,,,,,,-41.96943599,-71.45543603
Plateau,Control,12,Con012,,,,,,,-41.97026202,-71.45733596
Plateau,Control,13,Con013,,,,,,,-41.97067802,-71.45866298
Plateau,Control,14,Con014,,,,,,,-41.97177202,-71.46035504
Plateau,Control,15,Con015,,,,,,,-41.97137598,-71.46183302
Plateau,Control,16,Con016,,,,,,,-41.97075203,-71.46160997
Plateau,Control,17,Con017,,,,,,,-41.97002004,-71.46179697
Plateau,Control,18,Con018,,,,,,,-41.96861104,-71.46063499
Plateau,Control,19,Con019,,,,,,,-41.96828004,-71.46237398
Plateau,Control,20,Con020,,,,,,,-41.96848699,-71.46343103
Plateau,Control,21,Con021,,,,,,,-41.96805599,-71.45565899
