Treatment,Sample,Number,Zone,Morphospecies,PlantSpecies ,ContactWeight,preWeight,postWeight,leaveDryMass,H2O_weight,NumberLeaves,TotalLeafArea,pixelDens,MeanLaminaArea
Control,Cl1,1,Treeline,Cilantro,Sanicula graveolens,,,,,,,,,
Control,Cl1,1,Treeline,FatGrass,Poa sp,,,,,,,,,
Control,Cl1,1,Treeline,fatGreen,Perezia bellidifolia,,,,,,,,,
Control,Cl1,1,Treeline,GreenShrub,Gaultheria pumila,,,,,,,,,
Control,Cl1,1,Treeline,OtherGreenShrub,,,,,,,,,,
Control,Cl1,1,Treeline,RedLeaf,,,,,,,,,,
Control,Cl1,1,Treeline,SpikeyCushion,Mulinum echinus,,,,,,,,,
Control,Cl1,1,Treeline,FatGrass,Poa sp,,,,,,,,,
Control,Cl1,1,Treeline,Grass,Festuca sp,,,,,,,,,
Control,Cl2,2,Treeline,Cilantro,Sanicula graveolens,,,,,,,,,
Control,Con001,1,Plateau,GreenShrub,Gaultheria pumila,,0.08,,,,20,221544,336.4,0.097885423
Control,Con001,1,Plateau,Grass,Festuca sp,,0.35,0.18,0.18,0.17,9,216431,232,0.446787472
Control,Con001,1,Plateau,Rosette,Viola sp,,0.1,0.04,0.04,0.06,10,146142,282.03,0.183731843
Control,Con001,1,Plateau,YellowFlower,Senecio agyreus,,0.39,0.13,0.13,0.26,17,1232134,361.23,0.55544543
Control,Con001,1,Plateau,Dandelion,Hypochaeris sp,,0.14,0.02,0.02,0.12,5,1277014,240,4.434076389
Control,Con001,1,Plateau,Dandelion,Hypochaeris sp,,0.16,0.02,0.02,0.14,,,,
Control,Con001,1,Plateau,Dandelion,Hypochaeris sp,,0.07,0.01,0.01,0.06,,,,
Control,Con001,1,Plateau,Grass,Festuca sp,,0.13,,,,,,,
Control,Con001,1,Plateau,Arugula,Hypochaeris sp,,0.72,0.14,0.14,0.58,,,,
Control,Con002,2,Plateau,OtherGreenShrub,Baccharis magellanica,,,0.04,0.04,,20,1,360.8,3.84E-07
Control,Con002,2,Plateau,GreenShrub,Gaultheria pumila,,0.13,0.04,0.04,0.09,,,,
Control,Con002,2,Plateau,Grass,Festuca sp,,,,,,10,582052,155.21,2.416141629
Control,Con002,2,Plateau,Grass,Festuca sp,,0.53,0.29,0.29,0.24,10,485284,234.02,0.886114866
Control,Con002,2,Plateau,Rosette,Viola sp,,0.12,0.02,0.02,0.1,10,203033,305,0.218256383
Control,Con002,2,Plateau,YellowFlower,Senecio agyreus,,0.5,0.15,0.15,0.35,15,813777,302,0.594840139
Control,Con002,2,Plateau,SpikeyGreen,Perezia piliffera /fonkii?,,0.16,0.09,0.09,0.07,10,164229,256,0.250593567
Control,Con002,2,Plateau,LeafyGreen,Nasthantus patagonicus,,0.64,0.19,0.19,0.45,10,856533,295,0.984237863
Control,Con002,2,Plateau,SpikeyCushion,Mulinum echinus,,0.06,0.01,0.01,0.05,30,214280,325,0.06762288
Control,Con003,3,Plateau,GreenShrub,Gaultheria pumila,,0.09,0.05,0.05,0.04,20,263011,344.37,0.110890233
Control,Con003,3,Plateau,Grass,Festuca sp,,0.47,0.31,0.31,0.16,10,458993,255,0.705871588
Control,Con003,3,Plateau,Rosette,Viola sp,,0.13,0.04,0.04,0.09,10,147649,274.09,0.196536912
Control,Con003,3,Plateau,Rosette,Viola sp,,0.1,0.03,0.03,0.07,10,168504,286,0.206005184
Control,Con003,3,Plateau,LeafyCushion,Azorella sp,,0.24,0.09,0.09,0.15,21,630519,355.95,0.236974103
Control,Con003,3,Plateau,SpikeyGreen,Perezia piliffera /fonkii?,,0.18,0.07,0.07,0.11,14,470498,313.84,0.341203247
Control,Con004,4,Plateau,RedAloe,Poa sp,,1.81,1.5,0.38,0.31,5,1467932,252,4.623116654
Control,Con004,4,Plateau,GreenShrub,Gaultheria pumila,,0.74,0.65,0.06,0.09,27,307750,280,0.145384543
Control,Con004,4,Plateau,YellowFlower,Senecio agyreus,,,,,,15,2253903,300,1.669557778
Control,Con004,4,Plateau,Grass,Festuca sp,,2.64,2.41,0.36,0.23,,,,
Control,Con004,4,Plateau,Cushion,,,0.49,0.44,0.01,0.05,,,,
Control,Con004,4,Plateau,Rosette,Viola sp,,,,,,,,,
Control,Con004,4,Plateau,spikeyRose,Nassauvia revoluta,,,,,,7,213823,242,0.521585665
Control,Con004,4,Plateau,SpikeyGreen,Perezia piliffera /fonkii?,,0.91,0.9,0.07,0.01,,,,
Control,Con005,5,Plateau,Clover,Oxalis adenophylla,,,,,,,,,
Control,Con005,5,Plateau,RedAloe,Poa sp,,1.23,1.07,0.19,0.16,5,1224664,298,2.758128012
Control,Con005,5,Plateau,Dandelion,Hypochaeris sp,,,,,,,,,
Control,Con005,5,Plateau,Rosette,Viola sp,,,,,,,,,
Control,Con005,5,Plateau,GreenShrub,Gaultheria pumila,,0.77,0.7,0.05,0.07,17,268444,292,0.185199188
Control,Con005,5,Plateau,TallRed,Euphrasia meiantha,,1.19,1.19,0.04,0,,,,
Control,Con005,5,Plateau,Grass,Festuca sp,,1.76,1.7,0.21,0.06,10,484135,234,0.884167945
Control,Con005,5,Plateau,TallGreen,,,,,,,18,272734,270,0.207844841
Control,Con006,6,Plateau,Arugula,Hypochaeris sp,,,,,,,,,
Control,Con006,6,Plateau,RedAloe,Poa sp,,2.76,2.22,0.48,0.54,,,,
Control,Con006,6,Plateau,GreenShrub,Gaultheria pumila,,,,,,22,284914,323,0.124132661
Control,Con006,6,Plateau,spikeyRose,,0.54,0.51,0.04,0.03,0.02,10,208220,281,0.263699801
Control,Con006,6,Plateau,TallRed,Euphrasia meiantha,,0.36,0.34,0.03,,16,170332,271,0.144956496
Control,Con006,6,Plateau,YellowFlower,Senecio agyreus,,1.05,0.93,0.11,0.12,15,1833441,219,2.548516503
Control,Con006,6,Plateau,YellowFlower,Senecio agyreus,,1.08,0.87,0.15,0.21,,,,
Control,Con006,6,Plateau,Rosette,Viola sp,,,,,,,,,
Control,Con006,6,Plateau,FuzzyLeaf,Erigeron sp,,,,,,,,,
Control,Con006,6,Plateau,fatGreen,Perezia bellidifolia,,2.09,1.44,0.46,0.65,6,1676905,238,4.934047148
Control,Con006,6,Plateau,Grass,Festuca sp,,1.07,1.06,0.13,0.01,8,687677,260,1.271592086
Control,Con006,6,Plateau,OtherGreenShrub,,,,0.8,0.05,,,,,
Control,Con007,7,Plateau,RedAloe,Poa sp,,1.37,1.28,0.15,0.09,7,547474,251,1.241417937
Control,Con007,7,Plateau,GreenShrub,Gaultheria pumila,,0.89,1.24,0.07,-0.35,15,304127,307,0.215123061
Control,Con007,7,Plateau,YellowFlower,Senecio agyreus,,1,0.89,0.11,0.11,11,715503,277,0.847733286
Control,Con007,7,Plateau,Rosette,Viola sp,,,,,,,,,
Control,Con007,7,Plateau,Grass,Festuca sp,,2.04,1.93,0.29,0.11,10,843718,260,1.24810355
Control,Con007,7,Plateau,Arugula,Hypochaeris sp,,,,,,,,,
Control,Con007,7,Plateau,TallRed,Euphrasia meiantha,,0.57,0.55,0.01,0.02,21,212410,273,0.135715787
Control,Con007,7,Plateau,spikeyRose,Nassauvia revoluta,,0.58,0.56,0.01,0.02,16,253453,326,0.149053526
Control,Con007,7,Plateau,Cushion,Bolax gummifera,,0.34,0.33,0.01,0.01,14,92896,314,0.067299166
Control,Con009,9,Plateau,Arugula,Hypochaeris sp,,2.46,1.63,0.21,0.83,8,410314,118,3.683514076
Control,Con009,9,Plateau,Grass,Festuca sp,1.03,1.19,1.12,0.09,0.07,5,140185,118,2.013573686
Control,Con009,9,Plateau,YellowFlower,Senecio agyreus,,1.92,1.26,0.24,0.66,22,259853,118,0.848283539
Control,Con009,9,Plateau,SmallShrub,Empetrum rubrum,,1.91,0.91,0.08,1,47,47121,118,0.072003337
Control,Con008,8,Plateau,spikeyGreen,,,1.01,0.99,0.04,0.02,13,169956,234,0.238759925
Control,Con008,8,Plateau,Rosette,,,1.26,1.06,0.07,0.2,19,429058,249,0.364219932
Control,Con008,8,Plateau,greenShrub,,,1.21,1.14,0.1,0.07,27,231505,224,0.170883675
Control,Con008,8,Plateau,Grass,,,2.4,2.23,0.21,0.17,,,,
Control,Con009,9,Plateau,Grass,Festuca sp,,,,,,12,121537,118,0.727383175
Control,Con010,10,Plateau,Arugula,Hypochaeris sp,,1.07,0.82,0.05,0.25,4,124437,118,2.234217897
Control,Con010,10,Plateau,GreenShrub,Gaultheria pumila,,1.24,1.08,0.16,0.16,71,117200,118,0.118551007
Control,Con010,10,Plateau,RedAloe,Poa sp,0.98,1.31,1.15,0.17,0.16,7,160698,118,1.648725736
Control,Con010,10,Plateau,Rosette,Viola sp,,1.52,1.25,0.08,0.27,33,121116,118,0.263586744
Control,Con010,10,Plateau,SmallShrub,Empetrum rubrum,,0.63,0.56,0.01,0.07,56,34125,118,0.043764364
Control,Con010,10,Plateau,Grass,Festuca sp,0.97,1.26,1.18,0.21,0.08,,,,
Control,Con011,11,Plateau,Arugula,Hypochaeris sp,,2.43,1.59,0.16,0.84,6,398304,118,4.767595519
Control,Con011,11,Plateau,SmallShrub,Empetrum rubrum,,1.04,0.96,0.05,0.08,73,57733,118,0.05679855
Control,Con011,11,Plateau,TallRed,Euphrasia meiantha,,1.04,0.81,0.08,0.23,26,97073,118,0.268139681
Control,Con011,11,Plateau,YellowFlower,Senecio agyreus,,1.84,1.31,0.21,0.53,23,239009,118,0.746315402
Control,Con011,11,Plateau,Grass,Festuca sp,1.05,1.3,1.2,0.15,0.1,8,92331,118,0.828883582
Control,Con011,11,Plateau,RedAloe,Poa sp,1.05,1.14,1.1,0.05,0.04,5,76492,118,1.098707268
Control,Con012,12,Plateau,GreenShrub,Gaultheria pumila,,1.19,1.11,0.1,0.08,50,82472,118,0.118460213
Control,Con012,12,Plateau,SmallShrub,Empetrum rubrum,,1.02,0.98,0.01,0.04,66,38837,118,0.042260801
Control,Con012,12,Plateau,SpikeyGreen,Perezia piliffera /fonkii?,,,,,,11,74749,118,0.488032436
Control,Con012,12,Plateau,Grass,Festuca sp,1,1.11,1.09,0.09,0.02,6,80647,118,0.965323662
Control,Con012,12,Plateau,OtherGreenShrub,,,0.8,0.65,0.11,0.15,,,,
Control,Con013,13,Plateau,Arugula,Hypochaeris sp,,2.14,1.42,0.14,0.72,7,344225,118,3.531671933
Control,Cl2,2,Treeline,FatLeaf,,,,,,,,,,
Control,Con013,13,Plateau,GreenShrub,Gaultheria pumila,,1.03,1,0.01,0.03,73,127420,118,0.125357616
Control,Con013,13,Plateau,OtherGreenShrub,Baccharis magellanica,,1.17,1.1,0.12,0.07,45,87552,118,0.139729963
Control,Cl2,2,Treeline,GreenShrub,Gaultheria pumila,,,,,,,,,
Control,Cl2,2,Treeline,OtherGreenShrub,,,,,,,,,,
Control,Cl2,2,Treeline,RedAloe,Poa sp,,,,,,,,,
Control,Cl2,2,Treeline,SmallSpike,Empetrum rubrum,,,,,,,,,
Control,Cl2,2,Treeline,SpikeyCushion,Mulinum echinus,,,,,,,,,
Control,Cl2,2,Treeline,SpikeyGreen,,,,,,,,,,
Control,Cl2,2,Treeline,FatGrass,Poa sp,,,,,,,,,
Control,Cl2,2,Treeline,Grass,Festuca sp,,,,,,,,,
Control,Con013,13,Plateau,SmallShrub,Empetrum rubrum,,,0.87,,0.04,64,39647,118,0.044490403
Control,Con013,13,Plateau,SpikeyGreen,Perezia piliffera /fonkii?,,1.22,1.04,0.15,0.18,12,93180,118,0.55767021
Control,Con013,13,Plateau,spikeyRose,Nassauvia revoluta,,,,,,7,17819,118,0.182818976
Control,Con013,13,Plateau,TallRed,Euphrasia meiantha,,0.34,0.33,0.01,0.01,20,8001,118,0.028730968
Control,Con013,13,Plateau,RedAloe,Poa sp,1.01,1.64,1.27,0.26,0.37,6,160443,118,1.920461074
Control,Con013,13,Plateau,fatGreen,,,1.78,1.15,0.2,0.63,,,,
Control,Con013,13,Plateau,Grass,Festuca sp,0.98,1.26,1.15,0.17,0.11,6,80647,118,0.965323662
Control,Con014,14,Plateau,GreenShrub,Gaultheria pumila,,1.32,1.13,0.1,0.19,36,109937,118,0.21931956
Control,Con014,14,Plateau,OtherGreenShrub,Baccharis magellanica,,1.22,1.15,0.03,0.07,30,85648,118,0.205036867
Control,Con014,14,Plateau,OtherGreenShrub,Baccharis magellanica,,1.02,0.94,0.05,0.08,18,63597,118,0.253746529
Control,Con014,14,Plateau,Rosette,Viola sp,,1.08,0.82,0.07,0.26,25,112355,118,0.322766446
Control,Con014,14,Plateau,YellowFlower,Senecio agyreus,,1.72,1.33,0.2,0.39,32,193553,118,0.434396097
Control,Con014,14,Plateau,Grass,Festuca sp,1.01,1.38,1.21,0.2,0.17,5,99134,118,1.423929905
Control,Con015,15,Plateau,Dandelion,Hypochaeris sp,,1.37,1.11,0.06,0.26,4,139866,118,2.511239586
Control,Con015,15,Plateau,Grass,Festuca sp,,1.33,1.21,0.14,0.12,6,73021,118,0.874042421
Control,Con015,15,Plateau,LeafyCushion,Azorella sp,,1.3,1.04,0.13,0.26,30,135847,118,0.325210667
Control,Con015,15,Plateau,OtherGreenShrub,Baccharis magellanica,,1.32,1.03,0.17,0.29,54,176308,118,0.234484556
Control,Con015,15,Plateau,Rosette,Viola sp,,1.45,1.11,0.11,0.34,39,110913,118,0.204246127
Control,Con015,15,Plateau,SpikeyGreen,Perezia piliffera /fonkii?,,1.09,0.93,0.08,0.16,9,24612,118,0.196399502
Control,Con015,15,Plateau,GreenShrub,,,1.24,1.08,0.14,0.16,,,,
Control,Con015,15,Plateau,spikeyRose,Nassauvia revoluta,,0.56,0.53,0.02,0.03,17,21881,118,0.092438785
Control,Con015,15,Plateau,RedAloe,Poa sp,0.97,1.23,1.11,0.14,0.12,4,61924,118,1.111821316
Control,Con016,16,Plateau,Arugula,Hypochaeris sp,,1.57,1.14,0.12,0.43,7,236554,118,2.426991423
Control,Con016,16,Plateau,GreenShrub,Gaultheria pumila,,1.17,0.95,0.18,0.22,54,126114,118,0.167727984
Control,Con016,16,Plateau,OtherGreenShrub,Baccharis magellanica,,1.23,1.08,0.05,0.15,32,99825,118,0.224039877
Control,Con016,16,Plateau,OtherGreenShrub,Baccharis magellanica,,0.71,0.63,0.06,0.08,,,,
Control,Con016,16,Plateau,RedAloe,Poa sp,1.03,1.52,1.24,0.21,0.28,5,154375,118,2.217394427
Control,Con016,16,Plateau,Rosette,Viola sp,,0.88,0.75,0.01,0.13,15,34971,118,0.167437518
Control,Con016,16,Plateau,SpikeyCushion,Mulinum echinus,,1.14,1.01,0.07,0.13,16,149,118,0.000668809
Control,Con016,16,Plateau,Grass,Festuca sp,0.94,1.39,1.17,0.23,0.22,6,132236,118,1.582830604
Control,Con017,17,Plateau,GreenShrub,Gaultheria pumila,,1.16,1.08,0.06,0.08,48,77042,118,0.115271593
Control,Con017,17,Plateau,OtherGreenShrub,Baccharis magellanica,,,,,,28,54637,118,0.140140867
Control,Con017,17,Plateau,RedAloe,Poa sp,0.99,1.22,1.1,0.11,0.12,7,145532,118,1.493125949
Control,Con017,17,Plateau,Rosette,Viola sp,,1,0.82,0.08,0.18,20,63916,118,0.22951738
Control,Con017,17,Plateau,YellowFlower,Senecio agyreus,,1.35,1.03,0.18,0.32,26,196121,118,0.541734802
Control,Con017,17,Plateau,spikeyRose,Nassauvia revoluta,,0.4,0.39,0.01,0.01,,,,
Control,Con017,17,Plateau,Grass,Festuca sp,0.98,1.18,1.09,0.11,0.09,6,84414,118,1.010413674
Control,Con018,18,Plateau,Arugula,Hypochaeris sp,,1.05,0.84,0.01,0.21,4,242990,118,4.362790865
Control,Con018,18,Plateau,Clover,Oxalis adenophylla,,0.78,0.67,0.04,0.11,26,165184,118,0.456279142
Control,Con018,18,Plateau,GreenShrub,Gaultheria pumila,,1.15,1.05,0.08,0.1,74,72234,118,0.070104506
Control,Con018,18,Plateau,LeafyCushion,Azorella sp,,1.35,0.98,0.17,0.37,37,150964,118,0.293027011
Control,Con018,18,Plateau,OtherGreenShrub,Baccharis magellanica,,1.24,1.07,0.05,0.17,40,69487,118,0.124761204
Control,Con018,18,Plateau,Rosette,Viola sp,,1.66,1.46,0.05,0.2,28,78500,118,0.201348135
Control,Con018,18,Plateau,Rosette,Viola sp,,0.67,0.57,0.06,0.1,,,,
Control,Con018,18,Plateau,SpikeyRose,Nassauvia revoluta,,1.08,0.94,0.07,0.14,35,64139,118,0.131610375
Control,Con018,18,Plateau,RedAloe,Poa sp,1.08,1.56,1.28,0.2,0.28,5,175307,118,2.518055157
Control,Con018,18,Plateau,Grass,Festuca sp,0.94,1.19,1.06,0.12,0.13,7,80,118,0.000820782
Control,Con018,18,Plateau,Grass,Festuca sp,1.03,1.49,1.22,0.19,0.27,,,,
Control,Con018,18,Plateau,fatGreen,,,2.62,1.86,0.26,0.76,,,,
Control,Con019,19,Plateau,Arugula,Hypochaeris sp,,0.95,0.78,0.05,0.17,8,98782,118,0.886796179
Control,Con019,19,Plateau,Clover,Oxalis adenophylla,,0.84,0.82,0.01,0.02,12,23918,118,0.143146127
Control,Con019,19,Plateau,Cushion,Bolax gummifera,,0.5,0.47,0.01,0.03,26,22886,118,0.063216803
Control,Con019,19,Plateau,GreenShrub,Gaultheria pumila,,1.12,1.08,0.04,0.04,NA,103145,118,NA
Control,Con019,19,Plateau,OtherGreenShrub,Baccharis magellanica,,1.25,1.11,0.11,0.14,33,73214,118,0.159336833
Control,Con019,19,Plateau,Rosette,Viola sp,,1.4,1.17,0.06,0.23,19,62068,118,0.234611954
Control,Con019,19,Plateau,SpikeyGreen,Perezia piliffera /fonkii?,,0.96,0.84,0.06,0.12,9,49066,118,0.391538191
Control,Con019,19,Plateau,SpikeyRose,Nassauvia revoluta,,0.86,0.77,0.05,0.09,31,29311,118,0.067905496
Control,Con019,19,Plateau,TallRed,Euphrasia meiantha,,1.08,0.93,0.05,0.15,29,74314,118,0.184038475
Control,Con019,19,Plateau,Grass,Festuca sp,0.92,1.13,1.06,0.14,0.07,7,41938,118,0.430274552
Control,Con020,20,Plateau,Clover,Oxalis adenophylla,,1.64,1.4,0.04,0.24,35,230772,118,0.473533878
Control,Con020,20,Plateau,Cushion,Bolax gummifera,,0.48,0.47,0.01,0.01,34,273,118,0.00057666
Control,Con020,20,Plateau,Cushion,Bolax gummifera,,0.52,0.51,0.01,0.01,,,,
Control,Con020,20,Plateau,CushionCheck,Bolax gummifera?,,,,,,,,,
Control,Con020,20,Plateau,Dandelion,Hypochaeris sp,,1.49,1.15,0.1,0.34,4,312477,118,5.610402901
Control,Con020,20,Plateau,OtherGreenShrub,Baccharis magellanica,,1.22,1.08,0.11,0.14,,,,
Control,Con020,20,Plateau,SpikeyGreen,Perezia piliffera /fonkii?,,0.94,0.88,0.03,0.06,38,87927,118,0.166178427
Control,Con020,20,Plateau,RedAloe,Poa sp,0.99,1.41,1.11,0.12,0.3,5,176084,118,2.529215743
Control,Con020,20,Plateau,GreenShrub,Gaultheria pumila,0.95,1.21,1.05,0.1,0.16,50,78189,118,0.112308245
Control,Con020,20,Plateau,Grass,Festuca sp,1.01,1.43,1.19,0.18,0.24,6,110134,118,1.3182754
Control,ConXX,,Plateau,LeafyCushion,Azorella sp,,1.45,1.15,0.25,0.3,,,,
Control,ConXX,,Plateau,SpikeyGreen,Perezia piliffera /fonkii?,,1.25,1.12,0.3,0.13,,,,
Control,Cl3,3,Treeline,Blue,,,,,,,,,,
Control,Cl3,3,Treeline,GreenOrSmallShrub,,,,,,,,,,
Control,Cl3,3,Treeline,OtherGreenShrub,,,,,,,,,,
Control,Cl3,3,Treeline,RedLeaf,,,,,,,,,,
Control,Cl3,3,Treeline,SpikeyCushion,Mulinum echinus,,,,,,,,,
Control,Cl3,3,Treeline,Grass,Festuca sp,,,,,,,,,
Control,Cl3,3,Treeline,fatGreen,Perezia bellidifolia,,,,,,,,,
Control,Cl3,3,Treeline,RedAloe,Poa sp,,,,,,,,,
Control,Cl4,4,Treeline,OtherGreenShrub,,,,,,,,,,
Control,Cl5,5,Treeline,GreenShrub,Gaultheria pumila,,,,,,,,,
Control,Con008,8,Plateau,Grass,Festuca sp,,2.4,2.23,0.21,0.17,,,,
Control,Con008,8,Plateau,Grass,Festuca sp,,,,,,,,,
Control,Con008,8,Plateau,YellowFlower,Senecio agyreus,,2.6,2.29,0.14,0.31,17,504233,231,0.555850991
Control,Con008,8,Plateau,SpikeyGreen,Perezia piliffera /fonkii?,,1.01,0.99,0.04,0.02,13,169956,234,0.238759925
Control,Con008,8,Plateau,Rosette,Viola sp,,1.26,1.06,0.07,0.2,19,429058,249,0.364219932
Control,Con008,8,Plateau,GreenShrub,Gaultheria pumila,,1.21,1.14,0.1,0.07,27,231505,224,0.170883675
Notophagus,Not001,1,Treeline,BulbyGrass,,,,,,,,,,
Notophagus,Not001,1,Treeline,GreenShrub,Gaultheria pumila,,,,,,,,,
Notophagus,Not001,1,Treeline,RosetteX,,,,,,,,,,
Notophagus,Not001,1,Treeline,ShrubyCilantro,,,,,,,,,,
Notophagus,Not001,1,Treeline,SpikeyOrSmallShrub,,,,,,,,,,
Notophagus,Not001,1,Treeline,YellowFlower,Senecio agyreus,,,,,,,,,
Notophagus,Not002,2,Treeline,Cilantro,Sanicula graveolens,,,,,,,,,
Notophagus,Not002,2,Treeline,RosetteX,,,,,,,,,,
Notophagus,Not002,2,Treeline,ShrubyCilantro,,,,,,,,,,
Notophagus,Not003,3,Treeline,Clover,Oxalis adenophylla,,,,,,,,,
Notophagus,Not003,3,Treeline,FatLeaf,,,,,,,,,,
Notophagus,Not003,3,Treeline,GreenShrub,Gaultheria pumila,,,,,,,,,
Notophagus,Not003,3,Treeline,SerratedLeaf,,,,,,,,,,
Notophagus,Not004,4,Treeline,GreenShrub,Gaultheria pumila,,,,,,,,,
Notophagus,Not004,4,Treeline,YellowFlower,Senecio agyreus,,,,,,,,,
Notophagus,Not005,5,Treeline,GreenShrub,Gaultheria pumila,,,,,,,,,
Notophagus,Not005,5,Treeline,TallGreen,,,,,,,,,,
Notophagus,NotXX,,Treeline,SpikeyOrGreenShrub,,,,,,,,,,
Pine,PineL1,1,Treeline,BigLeaf,,,,,,,,,,
Pine,PineL1,1,Treeline,fatGreen,Perezia bellidifolia,,,,,,,,,
