Treatment,Muestra,C,pH,Pdisp,N-NH4,N-NO3
Control,Con001,2.79,6.1,11.2,82.6,15.4
Control,Con002,3.20,6.0,6.0,63.0,16.8
Control,Con003,1.55,5.8,6.3,57.4,14.1
Control,Con004,1.53,5.9,6.6,47.6,14.0
Control,Con005,2.40,5.6,6.2,32.2,15.4
Control,Con006,1.48,5.6,5.3,21.0,14.2
Control,Con007,1.61,5.5,7.0,28.0,16.7
Control,Con008,1.63,5.7,6.6,14.0,19.6
Control,Con009,1.34,5.6,6.8,26.6,9.9
Control,Con010,1.26,5.4,6.1,23.8,9.8
Control,Con011,3.72,5.7,6.3,26.6,12.6
Control,Con012,3.93,5.4,6.7,35.0,22.4
Control,Con013,3.02,5.6,8.8,23.8,15.6
Control,Con014,1.67,5.9,6.6,28.0,19.4
Control,Con015,1.94,5.7,6.5,40.6,23.7
Pine,Pine001,1.96,5.5,5.1,63.0,9.7
Pine,Pine002,1.26,5.7,5.4,36.4,25.2
Pine,Pine003,0.88,5.7,5.6,36.4,22.4
Pine,Pine004,1.99,5.7,6.6,32.2,5.6
Pine,Pine005,2.46,5.8,5.0,37.8,9.6
Pine,Pine006,2.08,5.8,6.7,43.4,19.5
Pine,Pine007,1.59,5.7,6.5,42.0,23.7
Pine,Pine008,1.24,5.4,5.3,15.4,15.2
Pine,Pine009,1.48,5.7,5.5,25.2,21.0
Pine,Pine010,3.73,5.7,5.0,37.8,16.3
Pine,Pine011,1.89,5.8,5.1,26.6,8.4
Pine,Pine012,3.26,5.5,5.4,29.4,15.8
Pine,Pine013,2.21,5.8,5.8,33.6,9.5
Pine,Pine014,1.42,5.7,5.4,30.8,15.3
Pine,Pine015,2.28,5.6,4.6,26.6,5.7
Sapling,Sap001,2.23,6.2,4.4,18.2,3.1
Sapling,Sap002,1.22,5.7,5.0,25.2,2.4
Sapling,Sap003,1.35,5.7,4.9,19.6,9.6
Sapling,Sap004,4.79,5.9,4.4,33.6,15.1
Sapling,Sap005,2.71,5.7,4.9,36.4,7.0
Sapling,Sap006,1.62,5.6,4.5,19.6,4.2
Sapling,Sap007,1.95,6.0,4.6,30.8,8.5
Sapling,Sap008,1.60,5.7,4.2,21.0,11.2
Sapling,Sap009,0.98,5.4,5.3,37.8,7.1
Sapling,Sap010,1.43,5.4,4.9,15.4,11.2
Sapling,Sap011,2.31,5.4,4.5,28.0,5.7
Sapling,Sap012,1.92,5.4,4.4,43.4,11.4
Sapling,Sap013,1.85,5.3,5.1,35.0,2.9
Sapling,Sap014,1.02,5.6,7.5,58.8,18.2
Sapling,Sap015,1.19,6.2,5.2,47.6,19.1
