Treatment,Tag,Temperature,Hour,Minute,WeatherLike,Day,Month
Control,Con-031-P,42.9,13,0,Sunny,4,2
Pine,Pine-001-P,33.8,13,30,Sunny,4,2
Sapling,Sap-016-P,38.2,13,33,Sunny,4,2
Control,Con-032-P,49.7,13,30,Sunny,4,2
Sapling,Sap-017-P,41.8,14,13,Sunny,4,2
Pine,Pine-002-P,36.8,14,30,Sunny,4,2
Sapling,Sap-018-P,38.8,14,37,Sunny,4,2
Control,Con-033-P,48.9,14,42,Sunny,4,2
Pine,Pine-003-P,39.2,14,47,Sunny,4,2
Sapling,Sap-019-P,44,15,0,Sunny,4,2
Pine,Pine-004-P,38,15,13,Sunny,4,2
Control,Con-034-P,52.5,15,26,Sunny,4,2
Sapling,Sap-020-P,49,15,47,Sunny,4,2
Pine,Pine-005-P,35.9,16,0,Sunny,4,2
Control,Con-025-P,40,16,23,Sunny,4,2
Sapling,Sap-021-P,41,16,40,Sunny,4,2
Pine,Pine -006-P,35.4,17,17,Sunny,4,2
Control,Con-006-P,44.5,17,23,Sunny,4,2
Sapling,Sap-022-P,44.6,17,30,Sunny,4,2
Pine,Pine-007-P,37.1,17,33,Sunny,4,2
Control,Con-037-P,45,17,45,Sunny,4,2
Sapling,Sap-023-P,36.9,18,0,Sunny,4,2
Control,Con-038-P,38,18,10,Sunny,4,2
Pine,Pine-008-P,31.3,18,20,Sunny,4,2
Sapling,Sap-024-P,42.8,13,9,Sunny,5,2
Control,Con-039-P,42.2,13,20,Sunny,5,2
Pine,Pine-009-P,26.5,13,40,Sunny,5,2
Sapling,Sap-025-P,41.3,13,45,Sunny,5,2
Control,Con-040-P,44.9,13,50,Sunny,5,2
Pine,Pine-010-P,36.2,14,0,Sunny,5,2
Sapling,Sap-026-P,46.7,14,10,Sunny,5,2
Control,Con-041-P,44,14,20,Sunny,5,2
Pine,Pine-011-P,36.4,14,27,Sunny,5,2
Sapling,Sap-027-P,39.3,14,35,Sunny,5,2
Control,Con-042-P,39.4,14,35,Sunny,5,2
Pine,Pine-012-P,31.1,14,38,Sunny,5,2
Sapling,Sap-028-P,39.4,14,40,Sunny,5,2
Control,Con-043-P,41.2,14,47,Sunny,5,2
Pine,Pine-013-P,36.2,15,0,Sunny,5,2
Control,Con-044-P,39.8,15,20,Sunny,5,2
Sapling,Sap-029-P,35.1,15,30,Sunny,5,2
Pine,Pine-014-P,26.4,16,0,Sunny,5,2
Sapling,Sap-030-P,29.6,16,0,Sunny,5,2
Control,Con-030-P,36.9,16,10,Sunny,5,2
Pine,Pine-015-P,27.2,16,20,Sunny,5,2
Control,Con-031-P,36.9,13,21,Cloudy,6,2
Pine,Pine-001-P,20.1,13,22,Cloudy,6,2
Sapling,Sap-016-P,29.7,13,24,Cloudy,6,2
Control,Con-032-P,31.7,13,26,Cloudy,6,2
Sapling,Sap-017-P,27.8,13,28,Cloudy,6,2
Pine,Pine-002-P,20.2,13,34,Cloudy,6,2
Control,Con-033-P,33.6,13,35,Cloudy,6,2
Sapling,Sap-018-P,28.1,13,37,Cloudy,6,2
Pine,Pine-003-P,19.3,13,39,Cloudy,6,2
Sapling,Sap-019-P,21.1,13,40,Cloudy,6,2
Pine,Pine-004-P,15.9,13,41,Cloudy,6,2
Control,Con-034-P,36.7,14,45,Cloudy,6,2
Sapling,Sap-020-P,25.8,13,46,Cloudy,6,2
Pine,Pine-005-P,18.4,13,52,Cloudy,6,2
Control,Con-035-P,24.4,13,55,Cloudy,6,2
Sapling,Sap-021-P,25,14,0,Cloudy,6,2
Pine,Pine-006-P,24.1,14,1,Cloudy,6,2
Control,Con-037-P,42,14,16,Cloudy,6,2
Pine,Pine-007-P,22.1,14,23,Cloudy,6,2
Sapling,Sap-022-P,32.1,14,24,Cloudy,6,2
Control,Con-036-P,40.2,14,26,Cloudy,6,2
Sapling,Sap-023-P,30.8,14,28,Cloudy,6,2
Control,Con-038-P,40,14,30,Cloudy,6,2
Pine,Pine-008-P,19.1,14,32,Cloudy,6,2
Sapling,Sap-024-P,30.2,14,36,Cloudy,6,2
Control,Con-039-P,36.5,14,40,Cloudy,6,2
Pine,Pine-009-P,14.9,14,44,Cloudy,6,2
Sapling,Sap-030-P,25.3,13,48,Cloudy,6,2
Control,Con-040-P,40.4,14,52,Cloudy,6,2
Pine,Pine-010-P,18.1,14,54,Cloudy,6,2
Sapling,Sap-031-P,29.9,14,56,Cloudy,6,2
Control,Con-041-P,41,15,0,Cloudy,6,2
Pine,Pine-011-P,28.1,15,5,Cloudy,6,2
Sapling,Sap-032-P,29.1,15,7,Cloudy,6,2
Control,Con-042-P,37.7,15,8,Cloudy,6,2
Pine,Pine-012-P,18.3,15,10,Cloudy,6,2
Control,Con-043-P,40.3,15,10,Cloudy,6,2
Sapling,Sap-033-P,28,15,11,Cloudy,6,2
Pine,Pine-013-P,21.2,15,12,Cloudy,6,2
Sapling,Sap-034-P,24.4,15,13,Cloudy,6,2
Control,Con-014-P,39.9,15,15,Cloudy,6,2
Pine,Pine-014-P,21.7,15,17,Cloudy,6,2
Control,Con-035-P,42.1,15,20,Cloudy,6,2
Pine,Pine-015-P,19.2,15,22,Cloudy,6,2
Sapling,Sap-051-P,23.5,16,11,Cloudy,6,2
Control,Con-057-P,38.4,16,15,Cloudy,6,2
Pine,Pine-046-P,14.9,16,20,Cloudy,6,2
Sapling,Sap-053-P,25,16,25,Cloudy,6,2
Control,Con-057-P,33.5,16,30,Cloudy,6,2
Pine,Pine-047-P,24,16,35,Cloudy,6,2
Sapling,Sap-053-P,26,16,45,Cloudy,6,2
Control,Con-058-P,31.1,16,48,Cloudy,6,2
Pine,Pine-048-P,18.8,16,54,Cloudy,6,2
Control,Con-059-P,33.5,17,0,Cloudy,6,2
Sapling,Sap-054-P,24.6,17,5,Cloudy,6,2
Pine,Pine-049-P,19.7,17,10,Cloudy,6,2
Sapling,Sap-055-P,26.7,17,15,Cloudy,6,2
Control,Con-060-P,29,17,19,Cloudy,6,2
Pine,Pine-050-P,17.7,17,28,Cloudy,6,2
Control,Con-031-P,41.1,17,0,Cloudy,6,2
Pine,Pine-001-P,27.6,17,10,Cloudy,6,2
Control,Con-032-P,33.7,17,12,Cloudy,6,2
Pine,Pine-017-P,28.7,17,15,Cloudy,6,2
Pine,Pine-002-P,22.8,17,17,Cloudy,6,2
Sapling,Sap-018-P,25.7,17,20,Cloudy,6,2
Control,Con-033-P,31.2,17,23,Cloudy,6,2
Pine,Pine-003-P,19.1,17,25,Cloudy,6,2
Control,Con-034-P,31.7,17,27,Cloudy,6,2
Sapling,Sap-020-P,27.6,17,30,Cloudy,6,2
Pine,Pine-005-P,22.8,17,33,Cloudy,6,2
Control,Con-035-P,26.2,17,35,Cloudy,6,2
Pine,Pine-006-P,21.9,17,40,Cloudy,6,2
Control,Con-037-P,29.4,17,41,Cloudy,6,2
Pine,Pine-007-P,21.9,17,43,Cloudy,6,2
Sapling,Sap-022-P,25,17,45,Cloudy,6,2
Control,Con-036-P,27.2,17,50,Cloudy,6,2
Sapling,Sap-023-P,23.5,17,51,Cloudy,6,2
Control,Con-038-P,29.7,17,52,Cloudy,6,2
Pine,Pine-008-P,19.9,17,53,Cloudy,6,2
Sapling,Sap-024-P,25,17,54,Cloudy,6,2
Control,Con-039-P,29.4,17,55,Cloudy,6,2
Pine,Pine-009-P,19.9,17,58,Cloudy,6,2
Sapling,Sap-026-P,23,18,0,Cloudy,6,2
Control,Con-041-P,24.9,18,1,Cloudy,6,2
Pine,Pine-011-P,19.5,18,3,Cloudy,6,2
Sapling,Sap-027-P,21.3,18,5,Cloudy,6,2
Control,Con-042-P,24.4,18,10,Cloudy,6,2
Pine,Pine-012-P,20,18,12,Cloudy,6,2
Control,Con-043-P,23.2,18,15,Cloudy,6,2
Control,Con-032-P,37.6,11,45,Sunny,14,2
Sapling,Sap-017-P,34.3,11,50,Sunny,14,2
Pine,Pine-002-P,30.6,12,0,Sunny,14,2
Control,Con-033-P,53.2,15,30,Sunny,14,2
Sapling,Sap-018-P,36.1,15,35,Sunny,14,2
Pine,Pine-003-P,26.2,15,40,Sunny,14,2
Sapling,Sap-019-P,27.6,NA,NA,Sunny,19,2
Pine,Pine-004-P,18.1,NA,NA,Sunny,19,2
Control,Con-004-P,27.4,NA,NA,Sunny,19,2
