,Sample,Plot_Number,Plant,Plate,Well,Plot,C,pH,Pdisp,NH4,NO3,Morphospecies,Treatment,Zone,Percent_Moisture,Lat,Lon,Basel_Diameter_estimated,Half_Tree_Cover,Tree_Height,Trunk_Circumference,PlantSpecies,MYC,PlantFUNCT.group,PlantSpecies.1,MYC.1,PlantFUNCT.group.1,PlantFUNCT.group.2,uniqueID,LeafDryMass,LeafH20Weight,LWC,LDMC,MLA,SLA
1,C1I,1,I,2,G11,Con001,2.79,6.1,11.2,82.6,15.4,Dandelion,Control,Plateau,7.066795741,-41.97108203,-71.464346,NA,NA,NA,NA,Hypochaeris sp,AM_facAM,flowering plant ,Hypochaeris sp,AM_facAM,flowering plant ,flowering plant ,Con001_Dandelion,0.02,0.12,0.024,0.004,443.4076389,22.17038194
2,C1A,1,A,3,A03,Con001,2.79,6.1,11.2,82.6,15.4,GreenShrub,Control,Plateau,7.066795741,-41.97108203,-71.464346,NA,NA,NA,NA,Gaultheria pumila,ERM,evergreen shrub,Gaultheria pumila,ERM,evergreen shrub,evergreen shrub,Con001_GreenShrub,NA,NA,NA,NA,9.788542319,NA
3,C1C,1,C,1,A07,Con001,2.79,6.1,11.2,82.6,15.4,Rosette,Control,Plateau,7.066795741,-41.97108203,-71.464346,NA,NA,NA,NA,Viola sp,AM,flowering plant,Viola sp,AM,flowering plant,flowering plant,Con001_Rosette,0.04,0.06,0.006,0.004,18.37318431,0.459329608
4,C1D,1,D,4,H07,Con001,2.79,6.1,11.2,82.6,15.4,YellowFlower,Control,Plateau,7.066795741,-41.97108203,-71.464346,NA,NA,NA,NA,Senecio agyreus,AM,flowering plant,Senecio agyreus,AM,flowering plant,flowering plant,Con001_YellowFlower,0.13,0.26,0.015294118,0.007647059,55.54454304,0.427265716
5,C2B,2,B,1,H05,Con002,3.2,6,6,63,16.8,Grass,Control,Plateau,3.988413547,-41.96976297,-71.46476702,NA,NA,NA,NA,Festuca sp,AM,grass,Festuca sp,AM,grass,grass,Con002_Grass,NA,NA,NA,NA,NA,NA
6,C2B,2,B,2,A05,Con002,3.2,6,6,63,16.8,Grass,Control,Plateau,3.988413547,-41.96976297,-71.46476702,NA,NA,NA,NA,Festuca sp,AM,grass,Festuca sp,AM,grass,grass,Con002_Grass,NA,NA,NA,NA,NA,NA
7,C2A,2,A,3,B05,Con002,3.2,6,6,63,16.8,GreenShrub,Control,Plateau,3.988413547,-41.96976297,-71.46476702,NA,NA,NA,NA,Gaultheria pumila,ERM,evergreen shrub,Gaultheria pumila,ERM,evergreen shrub,evergreen shrub,Con002_GreenShrub,NA,NA,NA,NA,NA,NA
8,C2M2,2,M2,2,C07,Con002,3.2,6,6,63,16.8,LeafyGreen,Control,Plateau,3.988413547,-41.96976297,-71.46476702,NA,NA,NA,NA,Nasthantus patagonicus,AM,flowering plant ,Nasthantus patagonicus,AM,flowering plant ,flowering plant ,Con002_LeafyGreen,0.19,0.45,0.045,0.019,98.42378627,0.518019928
9,C2C,2,C,1,E03,Con002,3.2,6,6,63,16.8,Rosette,Control,Plateau,3.988413547,-41.96976297,-71.46476702,NA,NA,NA,NA,Viola sp,AM,flowering plant,Viola sp,AM,flowering plant,flowering plant,Con002_Rosette,0.02,0.1,0.01,0.002,21.82563827,1.091281913
10,C2G,2,G,3,G10,Con002,3.2,6,6,63,16.8,SpikeyGreen,Control,Plateau,3.988413547,-41.96976297,-71.46476702,NA,NA,NA,NA,Perezia piliffera /fonkii?,AM,flowering plant ,Perezia piliffera /fonkii?,AM,flowering plant ,flowering plant ,Con002_SpikeyGreen,0.09,0.07,0.007,0.009,25.05935669,0.278437297
11,C2H,2,H,1,G07,Con002,3.2,6,6,63,16.8,SpikeyCushion,Control,Plateau,3.988413547,-41.96976297,-71.46476702,NA,NA,NA,NA,Mulinum echinus,AM,dense spiny shrub,Mulinum echinus,AM,dense spiny shrub,shrub,Con002_SpikeyCushion,0.01,0.05,0.001666667,0.000333333,6.762287968,0.676228797
12,C2D,2,D,2,H02,Con002,3.2,6,6,63,16.8,YellowFlower,Control,Plateau,3.988413547,-41.96976297,-71.46476702,NA,NA,NA,NA,Senecio agyreus,AM,flowering plant,Senecio agyreus,AM,flowering plant,flowering plant,Con002_YellowFlower,0.15,0.35,0.023333333,0.01,59.48401386,0.396560092
