"siteCode","Area","Morphospecies","LeafNumber","RawTotalLeafArea","Treatment","pixelDens","uniqueID","leaveDryMass","H2O_weight","LWC","LDMC","MLA","SLA"
"Con001","Plateau","Arugula",5,1220467,"Control",272,"Con001_Arugula",0.14,0.58,0.116,0.028,329.9272816,2.35662344
"Con001","Plateau","Dandelion",5,1277014,"Control",240,"Con001_Dandelion",0.02,0.12,0.024,0.004,443.4076389,22.17038194
"Con001","Plateau","GreenShrub",20,221544,"Control",336.4,"Con001_GreenShrub",NA,NA,NA,NA,9.788542319,NA
"Con001","Plateau","Rosette",10,146142,"Control",282.03,"Con001_Rosette",0.04,0.06,0.006,0.004,18.37318431,0.459329608
"Con001","Plateau","YellowFlower",17,1232134,"Control",361.23,"Con001_YellowFlower",0.13,0.26,0.015294118,0.007647059,55.54454304,0.427265716
"Con002","Plateau","OtherGreenShrub",20,402427,"Control",360.8,"Con002_OtherGreenShrub",0.04,NA,NA,0.002,15.4569591,0.386423977
"Con002","Plateau","LeafyGreen",10,856533,"Control",295,"Con002_LeafyGreen",0.19,0.45,0.045,0.019,98.42378627,0.518019928
"Con002","Plateau","Rosette",10,203033,"Control",305,"Con002_Rosette",0.02,0.1,0.01,0.002,21.82563827,1.091281913
"Con002","Plateau","SpikeyCushion",30,214280,"Control",325,"Con002_SpikeyCushion",0.01,0.05,0.001666667,0.000333333,6.762287968,0.676228797
"Con002","Plateau","SpikeyGreen",10,164229,"Control",256,"Con002_SpikeyGreen",0.09,0.07,0.007,0.009,25.05935669,0.278437297
"Con002","Plateau","YellowFlower",15,813777,"Control",302,"Con002_YellowFlower",0.15,0.35,0.023333333,0.01,59.48401386,0.396560092
"Con003","Plateau","Grass",10,458993,"Control",255,"Con003_Grass",0.31,0.16,0.016,0.031,70.58715879,0.227700512
"Con003","Plateau","GreenShrub",20,263011,"Control",344.37,"Con003_GreenShrub",0.05,0.04,0.002,0.0025,11.08902329,0.221780466
"Con003","Plateau","LeafyCushion",21,630519,"Control",355.95,"Con003_LeafyCushion",0.09,0.15,0.007142857,0.004285714,23.69741034,0.263304559
"Con003","Plateau","Rosette",10,147649,"Control",274.09,"Con003_Rosette",0.04,0.09,0.009,0.004,19.6536912,0.49134228
"Con003","Plateau","Rosette",10,168504,"Control",286,"Con003_Rosette",0.04,0.09,0.009,0.004,20.60051836,0.515012959
"Con003","Plateau","SpikeyGreen",14,470498,"Control",313.84,"Con003_SpikeyGreen",0.07,0.11,0.007857143,0.005,34.12032473,0.48743321
