"","Sample","Plot_Number","Plant","Plate","Well","Plot","Treatment","Zone","Percent_Moisture","Lat","Lon","Basel_Diameter_estimated","Half_Tree_Cover","Tree_Height","Trunk_Circumference"
"plate1-A01-ITS","P5 Soil",5,"Soil",1,"A01","Pine005","Pine","Plateau",5.38028169,-41.96658002,-71.46364099,16,95,233,50.26548246
"plate1-A02-ITS","P6E",6,"E",1,"A02","Pine006","Pine","Plateau",NA,-41.96749298,-71.46145298,14,93,250,43.98229715
"plate1-A03-ITS","C7B",7,"B",1,"A03","Con007","Control","Plateau",3.613807983,-41.96816102,-71.46105099,NA,NA,NA,NA
"plate1-A04-ITS","C10B",10,"B",1,"A04","Con010","Control","Plateau",0.762559809,-41.96778601,-71.45405704,NA,NA,NA,NA
"plate1-A05-ITS","P10AE",10,"AE",1,"A05","Pine010","Pine","Plateau",6.132414189,-41.96798902,-71.45368103,18,102,322,56.54866776
"plate1-A06-ITS","C6B",6,"B",1,"A06","Con006","Control","Plateau",3.833504625,-41.96762701,-71.45878603,NA,NA,NA,NA
"plate1-A07-ITS","C1C",1,"C",1,"A07","Con001","Control","Plateau",7.066795741,-41.97108203,-71.464346,NA,NA,NA,NA
"plate1-A08-ITS","S15F",15,"F",1,"A08","Sap015","Sapling","Plateau",5.808047923,-41.97158402,-71.46218003,2.6,44,72,8.168140899
"plate1-A09-ITS","S7J",7,"J",1,"A09","Sap007","Sapling","Plateau",7.205574913,-41.96786799,-71.45901402,3.9,45,75,12.25221135
"plate1-A10-ITS","P14T",14,"T",1,"A10","Pine014","Pine","Plateau",10.84024254,-41.97169701,-71.461054,20,108,330,62.83185307
"plate1-A11-ITS","S9AB",9,"A",1,"A11","Sap009","Sapling","Plateau",6.452269489,-41.96685998,-71.45571699,5.3,52,130,16.65044106
"plate1-A12-ITS","Notho Soil",1,"Soil",1,"A12","Not004","Nothophagus","Treeline",8.852963818,NA,NA,NA,NA,NA,NA
"plate1-B01-ITS","C15T",15,"T",1,"B01","Con015","Control","Plateau",3.846153846,-41.97137598,-71.46183302,NA,NA,NA,NA
"plate1-B02-ITS","C6C",6,"C",1,"B02","Con006","Control","Plateau",3.833504625,-41.96762701,-71.45878603,NA,NA,NA,NA
"plate1-B03-ITS","C3C",3,"C",1,"B03","Con003","Control","Plateau",4.012378615,-41.96898504,-71.46278,NA,NA,NA,NA
"plate1-B04-ITS","P2C",2,"C",1,"B04","Pine002","Pine","Plateau",4.271017354,-41.96939399,-71.46275997,14,115,246,43.98229715
