"Treatment","Sample","plotNumber","Zone","underscore","Morphospecies","uniqueID","PlantSpecies","MYC","PlantFUNCT.group"
"Control","Con001",1,"Plateau","_","Arugula","Con001_Arugula","Hypochaeris sp","AM_facAM","flowering plant "
"Control","Con001",1,"Plateau","_","Dandelion","Con001_Dandelion","Hypochaeris sp","AM_facAM","flowering plant "
"Control","Con001",2,"Plateau","_","Dandelion","Con001_Dandelion","Hypochaeris sp","AM_facAM","flowering plant "
"Control","Con001",3,"Plateau","_","Dandelion","Con001_Dandelion","Hypochaeris sp","AM_facAM","flowering plant "
"Control","Con001",4,"Plateau","_","Dandelion","Con001_Dandelion","Hypochaeris sp","AM_facAM","flowering plant "
"Control","Con001",5,"Plateau","_","Dandelion","Con001_Dandelion","Hypochaeris sp","AM_facAM","flowering plant "
"Control","Con001",1,"Plateau","_","Grass","Con001_Grass","Festuca sp","AM","grass"
"Control","Con001",1,"Plateau","_","Grass","Con001_Grass","Festuca sp","AM","grass"
"Control","Con001",1,"Plateau","_","GreenShrub","Con001_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Control","Con001",1,"Plateau","_","Rosette","Con001_Rosette","Viola sp","AM","flowering plant"
"Control","Con001",1,"Plateau","_","YellowFlower","Con001_YellowFlower","Senecio agyreus","AM","flowering plant"
"Control","Con002",2,"Plateau","_","Grass","Con002_Grass","Festuca sp","AM","grass"
"Control","Con002",2,"Plateau","_","GreenShrub","Con002_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Control","Con002",2,"Plateau","_","LeafyGreen","Con002_LeafyGreen","Nasthantus patagonicus","AM","flowering plant "
"Control","Con002",2,"Plateau","_","OtherGreenShrub","Con002_OtherGreenShrub","Baccharis magellanica","AM","evergreen shrub"
"Control","Con002",2,"Plateau","_","Rosette","Con002_Rosette","Viola sp","AM","flowering plant"
"Control","Con002",2,"Plateau","_","SpikeyCushion","Con002_SpikeyCushion","Mulinum echinus","AM","dense spiny shrub"
"Control","Con002",2,"Plateau","_","SpikeyGreen","Con002_SpikeyGreen","Perezia piliffera /fonkii?","AM","flowering plant "
"Control","Con002",2,"Plateau","_","YellowFlower","Con002_YellowFlower","Senecio agyreus","AM","flowering plant"
"Control","Con003",3,"Plateau","_","Grass","Con003_Grass","Festuca sp","AM","grass"
"Control","Con003",3,"Plateau","_","GreenShrub","Con003_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Control","Con003",3,"Plateau","_","LeafyCushion","Con003_LeafyCushion","Azorella sp","AM","flowering plant"
"Control","Con003",3,"Plateau","_","Rosette","Con003_Rosette","Viola sp","AM","flowering plant"
"Control","Con003",3,"Plateau","_","Rosette","Con003_Rosette","Viola sp","AM","flowering plant"
"Control","Con003",3,"Plateau","_","SpikeyGreen","Con003_SpikeyGreen","Perezia piliffera /fonkii?","AM","flowering plant "
"Control","Con004",4,"Plateau","_","Grass","Con004_Grass","Festuca sp","AM","grass"
"Control","Con004",4,"Plateau","_","GreenShrub","Con004_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Control","Con004",4,"Plateau","_","GreenShrub","Con004_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Control","Con004",4,"Plateau","_","RedAloe","Con004_RedAloe","Poa sp","AM","grass"
"Control","Con004",4,"Plateau","_","Rosette","Con004_Rosette","Viola sp","AM","flowering plant"
"Control","Con004",4,"Plateau","_","SpikeyGreen","Con004_SpikeyGreen","Perezia piliffera /fonkii?","AM","flowering plant "
"Control","Con004",4,"Plateau","_","YellowFlower","Con004_YellowFlower","Senecio agyreus","AM","flowering plant"
"Control","Con005",5,"Plateau","_","Clover","Con005_Clover","Oxalis adenophylla","AM","flowering plant "
"Control","Con005",5,"Plateau","_","Dandelion","Con005_Dandelion","Hypochaeris sp","AM_facAM","flowering plant "
"Control","Con005",5,"Plateau","_","Grass","Con005_Grass","Festuca sp","AM","grass"
"Control","Con005",5,"Plateau","_","GreenShrub","Con005_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Control","Con005",5,"Plateau","_","RedAloe","Con005_RedAloe","Poa sp","AM","grass"
"Control","Con005",5,"Plateau","_","Rosette","Con005_Rosette","Viola sp","AM","flowering plant"
"Control","Con005",5,"Plateau","_","TallGreen","Con005_TallGreen","","",""
"Control","Con005",5,"Plateau","_","TallRed","Con005_TallRed","Euphrasia meiantha","NM","flowering plant"
"Control","Con006",6,"Plateau","_","Arugula","Con006_Arugula","Hypochaeris sp","AM_facAM","flowering plant "
"Control","Con006",6,"Plateau","_","FatGreen","Con006_FatGreen","Perezia bellidifolia","AM","flowering plant"
"Control","Con006",6,"Plateau","_","FuzzyLeaf","Con006_FuzzyLeaf","Erigeron sp","AM","flowering plant"
"Control","Con006",6,"Plateau","_","Grass","Con006_Grass","Festuca sp","AM","grass"
"Control","Con006",6,"Plateau","_","GreenShrub","Con006_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Control","Con006",6,"Plateau","_","RedAloe","Con006_RedAloe","Poa sp","AM","grass"
"Control","Con006",6,"Plateau","_","Rosette","Con006_Rosette","Viola sp","AM","flowering plant"
"Control","Con006",6,"Plateau","_","TallRed","Con006_TallRed","Euphrasia meiantha","NM","flowering plant"
"Control","Con006",6,"Plateau","_","YellowFlower","Con006_YellowFlower","Senecio agyreus","AM","flowering plant"
"Control","Con007",7,"Plateau","_","Arugula","Con007_Arugula","Hypochaeris sp","AM_facAM","flowering plant "
"Control","Con007",7,"Plateau","_","Cushion","Con007_Cushion","Bolax gummifera","AM","flowering plant"
"Control","Con007",7,"Plateau","_","Grass","Con007_Grass","Festuca sp","AM","grass"
"Control","Con007",7,"Plateau","_","GreenShrub","Con007_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Control","Con007",7,"Plateau","_","RedAloe","Con007_RedAloe","Poa sp","AM","grass"
"Control","Con007",7,"Plateau","_","Rosette","Con007_Rosette","Viola sp","AM","flowering plant"
"Control","Con007",7,"Plateau","_","SpikeyRose","Con007_SpikeyRose","Nassauvia revoluta","AM","flowering plant "
"Control","Con007",7,"Plateau","_","TallRed","Con007_TallRed","Euphrasia meiantha","NM","flowering plant"
"Control","Con007",7,"Plateau","_","YellowFlower","Con007_YellowFlower","Senecio agyreus","AM","flowering plant"
"Control","Con008",8,"Plateau","_","Grass","Con008_Grass","Festuca sp","AM","grass"
"Control","Con008",8,"Plateau","_","Grass","Con008_Grass","Festuca sp","AM","grass"
"Control","Con008",8,"Plateau","_","GreenShrub","Con008_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Control","Con008",8,"Plateau","_","Rosette","Con008_Rosette","Viola sp","AM","flowering plant"
"Control","Con008",8,"Plateau","_","SpikeyGreen","Con008_SpikeyGreen","Perezia piliffera /fonkii?","AM","flowering plant "
"Control","Con008",8,"Plateau","_","YellowFlower","Con008_YellowFlower","Senecio agyreus","AM","flowering plant"
"Control","Con009",9,"Plateau","_","Arugula","Con009_Arugula","Hypochaeris sp","AM_facAM","flowering plant "
"Control","Con009",9,"Plateau","_","Grass","Con009_Grass","Festuca sp","AM","grass"
"Control","Con009",9,"Plateau","_","Grass","Con009_Grass","Festuca sp","AM","grass"
"Control","Con009",9,"Plateau","_","SmallShrub","Con009_SmallShrub","Empetrum rubrum","ERM","evergreen shrub"
"Control","Con009",9,"Plateau","_","YellowFlower","Con009_YellowFlower","Senecio agyreus","AM","flowering plant"
"Control","Con010",10,"Plateau","_","Arugula","Con010_Arugula","Hypochaeris sp","AM_facAM","flowering plant "
"Control","Con010",10,"Plateau","_","Grass","Con010_Grass","Festuca sp","AM","grass"
"Control","Con010",10,"Plateau","_","GreenShrub","Con010_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Control","Con010",10,"Plateau","_","RedAloe","Con010_RedAloe","Poa sp","AM","grass"
"Control","Con010",10,"Plateau","_","Rosette","Con010_Rosette","Viola sp","AM","flowering plant"
"Control","Con010",10,"Plateau","_","SmallShrub","Con010_SmallShrub","Empetrum rubrum","ERM","evergreen shrub"
"Control","Con011",11,"Plateau","_","Arugula","Con011_Arugula","Hypochaeris sp","AM_facAM","flowering plant "
"Control","Con011",11,"Plateau","_","Grass","Con011_Grass","Festuca sp","AM","grass"
"Control","Con011",11,"Plateau","_","RedAloe","Con011_RedAloe","Poa sp","AM","grass"
"Control","Con011",11,"Plateau","_","SmallShrub","Con011_SmallShrub","Empetrum rubrum","ERM","evergreen shrub"
"Control","Con011",11,"Plateau","_","TallRed","Con011_TallRed","Euphrasia meiantha","NM","flowering plant"
"Control","Con011",11,"Plateau","_","YellowFlower","Con011_YellowFlower","Senecio agyreus","AM","flowering plant"
"Control","Con012",12,"Plateau","_","Grass","Con012_Grass","Festuca sp","AM","grass"
"Control","Con012",12,"Plateau","_","GreenShrub","Con012_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
"Control","Con012",12,"Plateau","_","SmallShrub","Con012_SmallShrub","Empetrum rubrum","ERM","evergreen shrub"
"Control","Con012",12,"Plateau","_","SpikeyGreen","Con012_SpikeyGreen","Perezia piliffera /fonkii?","AM","flowering plant "
"Control","Con013",13,"Plateau","_","Arugula","Con013_Arugula","Hypochaeris sp","AM_facAM","flowering plant "
"Control","Con013",13,"Plateau","_","Grass","Con013_Grass","Festuca sp","AM","grass"
"Control","Con013",13,"Plateau","_","GreenShrub","Con013_GreenShrub","Gaultheria pumila","ERM","evergreen shrub"
